kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Kota Tasikmalaya,2,24.36,89.33,74.8,28.55,315.0,0.6714,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.000375
Tasikmalaya,2,24.6,88.26,75.1,27.72,256.1,0.8002,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,0.004226760758267607
Tasikmalaya,2,24.6,88.26,75.1,27.72,256.1,0.8002,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.00018231631382316312
Ciamis,2,25.36,87.86,76.34,28.08,288.5,0.7708,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.8660254037844386,0.5000000000000001,1,4.4444444444444447e-05
Kota Banjar,2,26.3,88.4,77.97,30.08,335.0,0.7299,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.8660254037844386,0.5000000000000001,1,0.0
Bekasi,2,26.77,86.2,78.51,29.94,235.2,0.4577,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844386,0.5000000000000001,1,0.007006055056055055
Bekasi,2,26.77,86.2,78.51,29.94,235.2,0.4577,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.009720648795648795
Bogor,2,24.39,87.97,74.72,29.3,321.8,0.6867,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844386,0.5000000000000001,1,4.4444444444444447e-05
Bogor,2,24.39,87.97,74.72,29.3,321.8,0.6867,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.0001858076563958917
Cianjur,2,23.72,88.6,73.66,27.12,271.2,0.7761,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.8660254037844386,0.5000000000000001,1,5e-05
Cirebon,2,26.64,86.81,78.37,30.95,260.0,0.584,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844386,0.5000000000000001,1,0.00011883468834688346
Cirebon,2,26.64,86.81,78.37,30.95,260.0,0.584,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844386,0.5000000000000001,1,0.00028708970767794297
Garut,2,22.63,89.19,71.87,26.2,251.6,0.784,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.8660254037844386,0.5000000000000001,0,0.002
Indramayu,2,26.84,86.82,78.69,30.24,192.4,0.5076,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.8660254037844386,0.5000000000000001,1,0.014381570716864835
Karawang,2,26.71,86.7,78.47,29.6,220.3,0.4754,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.8660254037844386,0.5000000000000001,1,0.00871442798394018
Kota Bandung,2,22.69,90.24,72.05,35.19,185.9,0.3672,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844386,0.5000000000000001,1,0.0009901709401709403
Kota Bandung,2,22.69,90.24,72.05,35.19,185.9,0.3672,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844386,0.5000000000000001,1,0.0022229249913855668
Kota Bogor,2,24.89,88.03,75.57,35.02,361.4,0.4951,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844386,0.5000000000000001,1,0.0002169828364950316
Kota Bogor,2,24.89,88.03,75.57,35.02,361.4,0.4951,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.002151416122004357
Kota Cirebon,2,26.1,86.85,77.47,31.0,265.7,0.4635,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844386,0.5000000000000001,1,0.00011883468834688346
Kota Cirebon,2,26.1,86.85,77.47,31.0,265.7,0.4635,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844386,0.5000000000000001,1,0.00028708970767794297
