kabupaten,sapi_potong,sapi_perah,kerbau,kambing,domba,tahun,E_enteric_sapi_potong,E_manure_CH4_sapi_potong,E_manure_N2O_sapi_potong,E_enteric_sapi_perah,E_manure_CH4_sapi_perah,E_manure_N2O_sapi_perah,E_enteric_kerbau,E_manure_CH4_kerbau,E_manure_N2O_kerbau,E_enteric_kambing,E_manure_CH4_kambing,E_manure_N2O_kambing,E_enteric_domba,E_manure_CH4_domba,E_manure_N2O_domba,total_CH4_t,total_N2O_t,total_CO2eq_t,tier,total_ternak,ghg_intensity
Bogor,20371.0,5753.0,4981.0,84879.0,202760.0,2025,957.437,20.371,13.44486,678.854,92.048,6.78854,273.955,9.962,2.4905,424.395,14.42943,13.580639999999999,1013.8,56.772800000000004,32.4416,3542.0242300000004,68.74614,117394.40554000002,MERAH,318744.0,0.3683031070075045
Sukabumi,19724.0,2137.0,6646.0,97400.0,316420.0,2025,927.028,19.724,13.01784,252.166,34.192,2.52166,365.53,13.292,3.323,487.0,16.558,15.584,1582.1,88.5976,50.6272,3786.1875999999997,85.0737,128557.78329999998,MERAH,442327.0,0.29063969258037603
Cianjur,32444.0,1812.0,7571.0,103506.0,526405.0,2025,1524.868,32.444,21.413040000000002,213.816,28.992,2.13816,416.405,15.142,3.7855,517.53,17.59602,16.560959999999998,2632.025,147.3934,84.2248,5546.211419999999,128.12246,189246.37165999995,MERAH,671738.0,0.2817264642762505
Bandung,24568.0,27740.0,1842.0,23730.0,247010.0,2025,1154.696,24.568,16.21488,3273.32,443.84,32.7332,101.31,3.684,0.921,118.65,4.0341000000000005,3.7968,1235.05,69.1628,39.5216,6428.3149,93.18748,204687.49940000003,MERAH,324890.0,0.6300209283141988
Garut,30989.0,11223.0,4529.0,29607.0,665254.0,2025,1456.483,30.989,20.452740000000002,1324.314,179.568,13.243139999999999,249.095,9.058,2.2645,148.035,5.03319,4.73712,3326.27,186.27112000000002,106.44064,6915.11631,147.13814,232614.86378,MERAH,741602.0,0.3136653673803469
Tasikmalaya,26065.0,1440.0,2037.0,36026.0,163416.0,2025,1225.055,26.065,17.202900000000003,169.92,23.04,1.6991999999999998,112.035,4.074,1.0185,180.13,6.12442,5.7641599999999995,817.08,45.75648,26.14656,2609.2799000000005,51.831320000000005,86795.13700000002,MERAH,228984.0,0.3790445489641198
Ciamis,6315.0,19.0,229.0,141717.0,205033.0,2025,296.805,6.315,4.1679,2.242,0.304,0.02242,12.595,0.458,0.1145,708.585,24.091890000000003,22.67472,1025.165,57.409240000000004,32.805279999999996,2133.9701299999997,59.784819999999996,75594.14093999998,MERAH,353313.0,0.21395799458270706
Kuningan,29300.0,6700.0,4900.0,8200.0,136500.0,2025,1377.1,29.3,19.338,790.6,107.2,7.906,269.5,9.8,2.45,41.0,1.394,1.312,682.5,38.22,21.84,3346.6139999999996,52.846000000000004,107709.38199999998,MERAH,185600.0,0.5803307219827585
Cirebon,4242.0,101.0,1766.0,21962.0,311566.0,2025,199.374,4.242,2.79972,11.918,1.616,0.11918,97.13,3.532,0.883,109.81,3.7335400000000005,3.51392,1557.83,87.23848000000001,49.850559999999994,2076.42402,57.16638,73288.96325999999,MERAH,339637.0,0.21578615775077506
Majalengka,11155.0,306.0,485.0,16356.0,1412822.0,2025,524.285,11.155,7.3623,36.108,4.896,0.36107999999999996,26.675,0.97,0.2425,81.78,2.78052,2.61696,7064.11,395.59016,226.05152,8148.349679999999,236.63436000000002,290861.89644,MERAH,1441124.0,0.20182988864247628
Sumedang,27655.0,4303.0,2490.0,35403.0,83733.0,2025,1299.785,27.655,18.252299999999998,507.754,68.848,5.07754,136.95,4.98,1.245,177.015,6.01851,5.66448,418.665,23.445240000000002,13.39728,2671.11575,43.6366,86354.94,MERAH,153584.0,0.5622652099176998
Indramayu,6801.0,0.0,516.0,104859.0,371567.0,2025,319.647,6.801,4.488659999999999,0.0,0.0,0.0,28.38,1.032,0.258,524.295,17.826030000000003,16.77744,1857.835,104.03876000000001,59.450720000000004,2859.85479,80.97482,101534.26142,MERAH,483743.0,0.20989298329898312
Subang,27365.0,10608.0,1590.0,22938.0,293779.0,2025,1286.155,27.365,18.0609,1251.744,169.728,12.517439999999999,87.45,3.18,0.795,114.69,3.8994600000000004,3.67008,1468.895,82.25812,47.00464,4495.36458,82.04805999999999,147612.94414,MERAH,356280.0,0.41431723402941506
Purwakarta,10095.0,0.0,3203.0,15079.0,100760.0,2025,474.465,10.095,6.662700000000001,0.0,0.0,0.0,176.165,6.406,1.6015,75.395,2.5634300000000003,2.4126399999999997,503.8,28.2128,16.1216,1277.10223,26.79844,42860.44904,MERAH,129137.0,0.3318990609972355
Karawang,3969.0,18.0,105.0,16624.0,99145.0,2025,186.543,3.969,2.6195399999999998,2.124,0.288,0.02124,5.775,0.21,0.0525,83.12,2.8260800000000006,2.65984,495.725,27.760600000000004,15.8632,808.3406799999999,21.216320000000003,28255.863839999998,MERAH,119861.0,0.23573859587355353
Bekasi,12328.0,51.0,174.0,53811.0,151749.0,2025,579.416,12.328,8.13648,6.018,0.816,0.06018,9.57,0.348,0.087,269.055,9.147870000000001,8.60976,758.745,42.48972,24.27984,1687.93359,41.17326,58173.05442,MERAH,218113.0,0.2667106244011132
Bandung Barat,5847.0,26583.0,488.0,15265.0,179501.0,2025,274.809,5.847,3.85902,3136.794,425.328,31.367939999999997,26.84,0.976,0.244,76.325,2.59505,2.4424,897.505,50.26028000000001,28.72016,4897.27933,66.63352,154781.70404,MERAH,227684.0,0.6798093148398658
Pangandaran,14744.0,0.0,244.0,14827.0,49955.0,2025,692.968,14.744,9.73104,0.0,0.0,0.0,13.42,0.488,0.122,74.135,2.5205900000000003,2.37232,249.775,13.987400000000001,7.9928,1062.03799,20.21816,35094.87612,MERAH,79770.0,0.4399508100789771
Kota Bogor,367.0,738.0,40.0,2520.0,5904.0,2025,17.249,0.367,0.24222,87.084,11.808,0.87084,2.2,0.08,0.02,12.6,0.42840000000000006,0.4032,29.52,1.6531200000000001,0.94464,162.98952000000003,2.4809,5221.145060000001,MERAH,9569.0,0.5456312112028426
Kota Sukabumi,727.0,60.0,2.0,48.0,1608.0,2025,34.169,0.727,0.47982,7.08,0.96,0.0708,0.11,0.004,0.001,0.24,0.00816,0.007679999999999999,8.04,0.4502400000000001,0.25728,51.78839999999999,0.8165800000000001,1666.4688999999998,MERAH,2445.0,0.681582372188139
Kota Bandung,1517.0,273.0,5.0,104.0,4638.0,2025,71.299,1.517,1.00122,32.214,4.368,0.32214,0.275,0.01,0.0025,0.52,0.01768,0.016640000000000002,23.19,1.29864,0.7420800000000001,134.70932000000002,2.08458,4324.27466,MERAH,6537.0,0.6615075202692366
Kota Cirebon,642.0,0.0,0.0,2278.0,6948.0,2025,30.174,0.642,0.42372000000000004,0.0,0.0,0.0,0.0,0.0,0.0,11.39,0.38726000000000005,0.36448,34.74,1.9454400000000003,1.11168,79.2787,1.89988,2723.2718000000004,MERAH,9868.0,0.2759699837859749
Kota Bekasi,2034.0,18.0,6.0,6778.0,3190.0,2025,95.598,2.034,1.34244,2.124,0.288,0.02124,0.33,0.012,0.003,33.89,1.15226,1.08448,15.95,0.8932,0.5104000000000001,152.27146000000002,2.96156,5048.414280000001,MERAH,12026.0,0.4197916414435391
Kota Depok,2245.0,459.0,27.0,3000.0,2021.0,2025,105.515,2.245,1.4817,54.162,7.344,0.54162,1.485,0.054,0.0135,15.0,0.51,0.48,10.105,0.5658800000000002,0.32336000000000004,196.98587999999998,2.84018,6268.252339999999,MERAH,7752.0,0.8085980830753353
Kota Cimahi,300.0,622.0,0.0,70.0,2500.0,2025,14.1,0.3,0.198,73.396,9.952,0.73396,0.0,0.0,0.0,0.35,0.0119,0.011200000000000002,12.5,0.7000000000000001,0.4,111.3099,1.34316,3472.6146,MERAH,3492.0,0.9944486254295533
Kota Tasikmalaya,2910.0,202.0,676.0,3313.0,13279.0,2025,136.77,2.91,1.9206,23.836,3.232,0.23836,37.18,1.352,0.338,16.565,0.56321,0.53008,66.395,3.7181200000000003,2.12464,292.52133000000003,5.15168,9555.792440000001,MERAH,20380.0,0.4688808851815506
Kota Banjar,746.0,0.0,4.0,3727.0,3734.0,2025,35.062,0.746,0.49236,0.0,0.0,0.0,0.22,0.008,0.002,18.635,0.63359,0.5963200000000001,18.67,1.0455200000000002,0.5974400000000001,75.02011,1.68812,2547.91488,MERAH,8211.0,0.3103050639386189
