kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Kota Cimahi,3,23.0,88.6,72.43,35.15,164.6,0.3488,1,cimahi,Kota Cimahi,1140,28.5,0.02631578947368421,1.0,6.123233995736766e-17
Kota Tasikmalaya,3,24.29,89.5,74.7,30.17,304.1,0.6705,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,1.0,6.123233995736766e-17
Kota Tasikmalaya,3,24.29,89.5,74.7,30.17,304.1,0.6705,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,1.0,6.123233995736766e-17
Tasikmalaya,3,24.53,88.35,75.0,27.96,267.8,0.8192,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,1.0,6.123233995736766e-17
Tasikmalaya,3,24.53,88.35,75.0,27.96,267.8,0.8192,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,1.0,6.123233995736766e-17
Ciamis,3,25.3,87.98,76.25,28.53,281.3,0.8061,1,ciamis,Kabupaten Ciamis,546900,381.64689462665734,0.007313951362223441,1.0,6.123233995736766e-17
Kota Banjar,3,26.21,88.63,77.86,30.56,288.9,0.7542,1,banjar,Kota Banjar,10610,93.0701754385965,0.01885014137606032,1.0,6.123233995736766e-17
Bekasi,3,26.88,84.71,78.5,32.58,205.0,0.5211,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,1.0,6.123233995736766e-17
Bekasi,3,26.88,84.71,78.5,32.58,205.0,0.5211,1,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,1.0,6.123233995736766e-17
Bogor,3,24.34,87.88,74.62,29.92,307.9,0.7309,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,1.0,6.123233995736766e-17
Bogor,3,24.34,87.88,74.62,29.92,307.9,0.7309,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,1.0,6.123233995736766e-17
