kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Sukabumi,6,23.85,86.2,73.64,26.36,153.8,0.787,1
Sumedang,6,24.04,81.27,73.5,26.85,94.7,0.7583,1
Kota Bekasi,6,26.87,79.65,77.86,35.82,90.4,0.3639,1
Kota Depok,6,26.3,80.72,77.08,34.48,147.6,0.4486,1
Bandung,7,20.89,81.75,68.43,25.69,63.4,0.7116,0
Kota Cimahi,7,22.61,81.2,71.18,32.32,45.5,0.3386,0
Kota Tasikmalaya,7,21.63,89.67,70.2,26.86,62.8,0.6671,0
Tasikmalaya,7,22.11,88.15,70.9,24.81,93.4,0.8072,0
Ciamis,7,22.82,87.2,72.01,25.33,93.4,0.8046,1
Kota Banjar,7,23.58,87.5,73.31,28.32,87.9,0.7114,1
Bekasi,7,26.77,76.54,77.33,32.51,66.3,0.4845,1
Bogor,7,24.2,80.49,73.68,28.24,102.4,0.7206,1
Cianjur,7,22.64,83.35,71.4,25.84,102.9,0.7813,0
Cirebon,7,26.58,68.62,76.08,31.45,24.9,0.5425,1
Garut,7,20.85,85.05,68.59,24.73,68.6,0.7823,0
Indramayu,7,27.58,62.8,76.81,30.72,32.4,0.537,1
Karawang,7,26.93,73.82,77.23,31.03,55.6,0.5583,1
Kota Bandung,7,22.36,79.7,70.66,32.17,45.8,0.3565,0
Kota Bogor,7,24.86,81.05,74.8,32.84,128.2,0.4971,1
Kota Cirebon,7,25.94,69.24,75.19,34.06,27.9,0.4434,1
Kota Sukabumi,7,22.95,79.53,71.59,30.22,79.4,0.5531,0
Kuningan,7,23.58,77.09,72.37,27.05,36.1,0.7588,1
Majalengka,7,24.79,70.01,73.55,28.71,30.0,0.6718,1
Purwakarta,7,25.02,76.71,74.6,28.21,81.1,0.7111,1
Subang,7,26.01,69.9,75.38,29.4,47.5,0.6391,1
Sukabumi,7,23.28,84.01,72.51,26.1,88.1,0.782,1
Sumedang,7,23.98,70.72,72.41,27.54,41.7,0.741,1
Kota Bekasi,7,26.73,76.14,77.2,35.75,62.7,0.3692,1
Kota Depok,7,26.27,77.46,76.65,34.39,87.6,0.443,1
Bandung,8,21.36,74.73,68.72,27.31,48.6,0.6759,0
Kota Cimahi,8,23.02,76.19,71.41,34.22,24.9,0.2997,0
Kota Tasikmalaya,8,21.31,85.8,69.4,27.21,35.1,0.6673,0
Tasikmalaya,8,21.76,85.18,70.1,25.09,35.7,0.7821,0
Ciamis,8,22.39,85.23,71.14,25.45,24.3,0.7644,0
Kota Banjar,8,23.11,84.97,72.3,27.23,20.6,0.6753,1
Bekasi,8,27.37,71.13,77.57,33.23,34.7,0.4642,1
Bogor,8,24.97,72.93,74.12,29.67,87.3,0.6992,1
Cianjur,8,22.82,78.15,71.26,27.12,69.5,0.7512,0
Cirebon,8,26.48,65.92,75.61,31.98,10.9,0.5247,1
Garut,8,20.82,79.94,68.22,26.29,38.6,0.7435,0
Indramayu,8,27.71,59.19,76.52,31.24,11.6,0.5548,1
Karawang,8,27.54,68.59,77.49,31.52,31.6,0.4976,1
Kota Bandung,8,22.91,72.83,70.96,34.07,26.5,0.3354,0
Kota Bogor,8,25.54,74.81,75.2,33.97,92.4,0.4767,1
Kota Cirebon,8,25.78,66.85,74.68,34.48,6.5,0.405,1
Kota Sukabumi,8,23.62,70.45,71.83,31.52,68.6,0.5132,0
Kuningan,8,23.61,72.16,71.98,27.92,18.0,0.7107,0
Majalengka,8,24.88,64.84,73.15,30.33,13.8,0.5837,1
Purwakarta,8,25.89,68.82,75.07,29.41,46.2,0.6786,1
Subang,8,26.66,63.4,75.56,29.88,27.3,0.6532,1
Sukabumi,8,23.46,78.42,72.3,27.58,67.7,0.74,1
Sumedang,8,24.41,63.69,72.36,28.95,21.5,0.6972,1
Kota Bekasi,8,27.43,70.26,77.55,36.52,36.9,0.3404,1
Kota Depok,8,27.23,69.68,77.18,35.77,56.3,0.4068,1
Bandung,9,21.71,69.0,68.84,29.21,15.8,0.6153,0
Kota Cimahi,9,23.47,69.6,71.54,36.63,11.4,0.2799,0
Kota Tasikmalaya,9,21.81,81.06,69.88,29.98,13.5,0.6015,0
Tasikmalaya,9,22.17,81.03,70.46,27.55,19.6,0.7441,0
Ciamis,9,22.79,81.63,71.51,27.94,17.4,0.7218,0
Kota Banjar,9,23.69,80.45,72.86,30.47,18.1,0.6422,1
Bekasi,9,28.01,64.92,77.7,36.1,4.6,0.4437,1
Bogor,9,25.49,66.72,74.25,31.66,25.4,0.6447,1
Cianjur,9,23.2,72.79,71.4,29.38,23.8,0.6878,0
Cirebon,9,26.94,62.11,75.8,35.5,4.7,0.4762,1
Garut,9,21.14,75.3,68.42,28.48,13.4,0.6775,0
Indramayu,9,28.29,53.7,76.58,34.51,0.1,0.4756,1
Karawang,9,28.12,63.02,77.61,33.73,3.4,0.4885,1
Kota Bandung,9,23.29,66.59,70.99,36.4,10.8,0.3142,0
Kota Bogor,9,26.11,68.6,75.38,35.19,39.3,0.4399,1
Kota Cirebon,9,26.16,63.62,74.86,38.16,6.4,0.3527,1
Kota Sukabumi,9,24.01,65.57,71.96,33.96,26.7,0.4629,0
Kuningan,9,24.03,68.41,72.25,31.24,8.1,0.6176,1
Majalengka,9,25.4,60.31,73.42,33.53,1.9,0.4988,1
Purwakarta,9,26.57,61.6,75.22,32.33,9.6,0.6099,1
Subang,9,27.16,57.95,75.6,32.56,3.6,0.6096,1
Sukabumi,9,23.7,74.09,72.29,30.28,26.6,0.6579,1
Sumedang,9,24.87,58.59,72.49,31.78,4.3,0.6128,1
Kota Bekasi,9,28.06,64.34,77.7,40.16,4.8,0.3085,1
Kota Depok,9,27.79,64.28,77.3,38.38,15.4,0.3737,1
Bandung,10,22.87,69.61,70.63,30.77,80.6,0.5771,0
Kota Cimahi,10,24.65,69.68,73.31,37.99,67.9,0.2782,1
Kota Tasikmalaya,10,23.99,80.37,73.33,31.61,34.1,0.5711,1
Tasikmalaya,10,24.04,80.68,73.44,28.93,42.1,0.715,1
Ciamis,10,24.58,82.3,74.46,30.12,18.1,0.6642,1
Kota Banjar,10,25.58,80.74,75.92,33.0,9.5,0.5998,1
Bekasi,10,28.82,67.97,79.31,37.16,29.8,0.4187,2
Bogor,10,26.11,70.15,75.55,32.58,120.8,0.6115,1
Cianjur,10,24.17,75.93,73.19,30.89,105.9,0.6533,1
Cirebon,10,28.51,65.41,78.5,37.62,13.2,0.4219,1
Garut,10,22.61,76.93,70.83,30.41,60.6,0.6574,0
Indramayu,10,29.7,57.98,79.11,38.05,18.2,0.3825,2
Karawang,10,29.01,66.32,79.36,34.91,29.2,0.4766,2
Kota Bandung,10,24.7,65.77,72.98,38.43,60.6,0.2913,1
Kota Bogor,10,26.58,72.55,76.54,36.78,159.3,0.4212,1
Kota Cirebon,10,27.75,66.54,77.54,39.99,13.2,0.347,1
Kota Sukabumi,10,24.75,70.19,73.5,34.58,126.8,0.4519,1
Kuningan,10,25.73,70.2,74.98,32.92,25.1,0.5839,1
Majalengka,10,27.0,62.61,75.96,36.11,35.1,0.461,1
Purwakarta,10,27.53,63.52,76.83,34.0,71.4,0.5356,1
Subang,10,28.31,61.5,77.67,35.0,43.2,0.5119,1
Sukabumi,10,24.56,79.09,74.11,31.54,117.7,0.6386,1
Sumedang,10,26.44,59.76,74.81,33.79,48.2,0.5671,1
Kota Bekasi,10,28.76,67.81,79.21,40.24,30.5,0.2867,2
Kota Depok,10,28.36,67.62,78.59,39.54,72.9,0.3492,1
Bandung,11,22.41,81.96,70.92,28.53,348.8,0.6083,0
Kota Cimahi,11,23.87,83.37,73.41,35.49,253.5,0.3016,1
Kota Tasikmalaya,11,24.35,86.02,74.46,30.84,284.1,0.5175,1
Tasikmalaya,11,24.49,85.64,74.65,28.98,283.6,0.6034,1
Ciamis,11,25.23,84.82,75.79,30.71,213.3,0.6023,1
Kota Banjar,11,26.39,82.54,77.44,33.19,165.7,0.5407,1
Bekasi,11,27.8,79.35,79.31,35.55,225.1,0.4365,2
Bogor,11,25.15,82.81,75.45,30.88,503.8,0.6405,1
Cianjur,11,23.94,84.93,73.67,29.47,428.7,0.665,1
Cirebon,11,28.46,71.87,79.33,36.9,121.4,0.4127,2
Garut,11,22.74,85.53,71.74,28.93,272.8,0.6356,0
Indramayu,11,29.01,69.76,79.86,36.47,123.1,0.3545,2
Karawang,11,27.92,78.51,79.38,33.55,206.2,0.5422,2
Kota Bandung,11,23.84,81.18,73.16,36.61,233.1,0.3175,1
