kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Tasikmalaya,2,23.54,88.8,73.37,28.28,308.3,0.7834,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844386,0.5000000000000001,1,9.462915601023017e-05
Tasikmalaya,2,23.54,88.8,73.37,28.28,308.3,0.7834,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844386,0.5000000000000001,1,0.00011129582267689684
Ciamis,2,24.3,88.73,74.64,28.19,321.2,0.8018,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.8660254037844386,0.5000000000000001,1,0.00011932051403492152
Kota Banjar,2,25.16,89.89,76.21,29.63,336.6,0.7469,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.8660254037844386,0.5000000000000001,1,0.00017315149277998963
Bekasi,2,25.55,85.75,76.43,31.27,385.0,0.4429,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844386,0.5000000000000001,1,0.007509245159501797
Bekasi,2,25.55,85.75,76.43,31.27,385.0,0.4429,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.008203242061489485
Bogor,2,23.04,88.92,72.53,25.87,394.0,0.6293,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844386,0.5000000000000001,1,0.0
Bogor,2,23.04,88.92,72.53,25.87,394.0,0.6293,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.0
Cianjur,2,22.5,88.4,71.58,27.03,368.0,0.7233,0,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.8660254037844386,0.5000000000000001,0,4.6078431372549025e-05
Cirebon,2,25.43,87.73,76.44,29.93,392.2,0.6494,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844386,0.5000000000000001,1,0.00023648482611332295
Cirebon,2,25.43,87.73,76.44,29.93,392.2,0.6494,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844386,0.5000000000000001,1,0.0007726600922885891
Garut,2,21.59,88.54,70.06,26.53,334.5,0.7536,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.8660254037844386,0.5000000000000001,0,2.9411764705882354e-05
Indramayu,2,25.51,87.1,76.51,29.02,369.1,0.6693,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.8660254037844386,0.5000000000000001,1,0.0026975942779005235
Karawang,2,25.45,86.35,76.33,29.51,382.6,0.5069,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.8660254037844386,0.5000000000000001,1,0.005407142289368234
Kota Bandung,2,21.42,89.99,69.86,33.12,239.9,0.3855,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844386,0.5000000000000001,0,0.0
Kota Bandung,2,21.42,89.99,69.86,33.12,239.9,0.3855,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844386,0.5000000000000001,0,0.0002222222222222222
Kota Bogor,2,23.49,89.07,73.31,0.0,410.5,0.3901,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844386,0.5000000000000001,1,0.00021052631578947367
Kota Bogor,2,23.49,89.07,73.31,0.0,410.5,0.3901,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.0037105263157894736
Kota Cirebon,2,24.93,87.82,75.61,33.3,406.8,0.4872,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844386,0.5000000000000001,1,0.0006065538886978669
Kota Cirebon,2,24.93,87.82,75.61,33.3,406.8,0.4872,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844386,0.5000000000000001,1,0.000733638245782224
Kota Sukabumi,2,21.88,90.54,70.69,31.94,354.2,0.5592,0,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.8660254037844386,0.5000000000000001,0,7.76045357902197e-05
Kota Sukabumi,2,21.88,90.54,70.69,31.94,354.2,0.5592,0,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.8660254037844386,0.5000000000000001,0,9.427120245688637e-05
Kuningan,2,23.58,90.74,73.61,27.27,429.4,0.7307,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,0.8660254037844386,0.5000000000000001,1,8.496732026143791e-05
Majalengka,2,23.47,90.66,73.4,28.76,421.8,0.7337,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,0.8660254037844386,0.5000000000000001,1,0.00015648482611332296
Purwakarta,2,23.68,89.16,73.64,27.75,396.4,0.6949,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,0.8660254037844386,0.5000000000000001,1,0.0001912958226768968
Subang,2,24.34,88.01,74.63,28.13,407.6,0.6497,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,0.8660254037844386,0.5000000000000001,1,0.00011129582267689684
Sukabumi,2,23.0,89.03,72.47,26.52,340.9,0.7362,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,0.8660254037844386,0.5000000000000001,1,0.00010965867828612928
Sukabumi,2,23.0,89.03,72.47,26.52,340.9,0.7362,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,0.8660254037844386,0.5000000000000001,1,0.00022782446311858076
Sumedang,2,22.59,91.03,71.94,28.33,407.0,0.6669,0,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,0.8660254037844386,0.5000000000000001,0,2.9411764705882354e-05
Kota Bekasi,2,25.44,85.4,76.2,0.0,381.2,0.2999,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844386,0.5000000000000001,1,0.014210526315789472
Kota Bekasi,2,25.44,85.4,76.2,0.0,381.2,0.2999,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844386,0.5000000000000001,1,0.00961961722488038
Kota Depok,2,24.9,86.65,75.43,0.0,368.9,0.3141,1,depok,Kota Depok,610,3.05,0.0163934426229508,0.8660254037844386,0.5000000000000001,1,0.0007105263157894736
Bandung,3,20.87,88.27,68.83,26.66,231.7,0.7026,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,1.0,6.123233995736766e-17,0,2.9411764705882354e-05
Bandung,3,20.87,88.27,68.83,26.66,231.7,0.7026,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,1.0,6.123233995736766e-17,0,0.00014285714285714284
Kota Cimahi,3,22.34,87.89,71.27,35.01,139.7,0.3507,0,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,1.0,6.123233995736766e-17,0,0.0
Kota Tasikmalaya,3,23.67,88.24,73.53,31.11,369.2,0.6505,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,1.0,6.123233995736766e-17,1,3.9073600454674626e-05
Kota Tasikmalaya,3,23.67,88.24,73.53,31.11,369.2,0.6505,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,1.0,6.123233995736766e-17,1,5.5740267121341294e-05
Tasikmalaya,3,23.89,87.17,73.8,27.64,291.5,0.7946,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,1.0,6.123233995736766e-17,1,3.9073600454674626e-05
Tasikmalaya,3,23.89,87.17,73.8,27.64,291.5,0.7946,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,1.0,6.123233995736766e-17,1,5.5740267121341294e-05
Ciamis,3,24.66,86.93,75.07,27.6,298.0,0.7781,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,1.0,6.123233995736766e-17,1,6.376495847936598e-05
Kota Banjar,3,25.58,87.45,76.67,29.85,292.3,0.6943,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,1.0,6.123233995736766e-17,1,5.5740267121341294e-05
Bekasi,3,26.09,85.18,77.26,28.37,161.6,0.4591,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,1.0,6.123233995736766e-17,1,0.001155470297479511
