kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Kota Cirebon,7,26.03,71.17,75.55,31.93,77.0,0.4713,1
Kota Sukabumi,7,22.7,82.56,71.43,28.85,128.3,0.5956,0
Kuningan,7,24.06,76.22,73.04,25.93,77.7,0.7803,1
Majalengka,7,24.68,73.14,73.71,27.87,84.5,0.6813,1
Purwakarta,7,24.58,80.39,74.27,27.25,141.0,0.7281,1
Subang,7,25.56,75.01,75.26,28.51,101.4,0.6257,1
Sukabumi,7,23.45,84.35,72.82,25.74,132.6,0.7841,1
Sumedang,7,23.9,73.27,72.52,26.58,104.9,0.766,1
Kota Bekasi,7,26.18,79.1,76.69,34.33,89.4,0.3687,1
Kota Depok,7,25.78,79.69,76.13,33.25,133.0,0.451,1
Bandung,8,21.67,74.83,69.2,26.28,61.1,0.6824,0
Kota Cimahi,8,23.41,75.44,71.96,32.63,37.8,0.3206,0
Kota Tasikmalaya,8,21.82,86.17,70.27,25.87,32.8,0.689,0
Tasikmalaya,8,22.26,85.46,70.94,24.12,37.7,0.8003,0
Ciamis,8,23.01,84.54,72.11,24.69,39.5,0.7937,1
Kota Banjar,8,23.88,83.32,73.43,26.99,42.1,0.7372,1
Bekasi,8,27.25,74.18,77.78,32.56,31.8,0.4751,1
Bogor,8,24.94,75.19,74.31,28.74,115.0,0.701,1
Cianjur,8,23.1,78.73,71.76,26.68,82.1,0.7512,0
Cirebon,8,27.13,65.16,76.46,31.28,21.5,0.5133,1
Garut,8,21.18,80.68,68.83,25.27,35.2,0.7637,0
Indramayu,8,28.49,57.41,77.36,30.39,14.5,0.5434,1
Karawang,8,27.31,72.77,77.69,31.0,25.3,0.5072,1
Kota Bandung,8,23.45,71.12,71.64,32.65,41.0,0.3457,0
Kota Bogor,8,25.66,75.32,75.45,32.86,163.3,0.4774,1
Kota Cirebon,8,26.41,66.29,75.54,33.55,12.1,0.4282,1
Kota Sukabumi,8,23.68,73.54,72.2,30.53,97.5,0.552,1
Kuningan,8,24.31,71.28,72.96,26.46,36.2,0.7203,1
Majalengka,8,25.63,63.97,74.14,29.0,20.9,0.6088,1
Purwakarta,8,25.86,71.83,75.36,28.63,53.8,0.6887,1
Subang,8,26.85,66.0,76.16,29.43,27.3,0.6386,1
Sukabumi,8,23.66,80.09,72.77,26.79,70.2,0.7492,1
Sumedang,8,25.11,62.48,73.23,27.84,27.0,0.7097,1
Kota Bekasi,8,27.25,73.53,77.69,35.45,36.3,0.3511,1
Kota Depok,8,26.97,73.07,77.21,34.33,90.9,0.4332,1
Bandung,9,21.81,77.57,69.63,27.27,197.5,0.6635,0
Kota Cimahi,9,23.53,77.41,72.32,34.45,153.5,0.3113,1
Kota Tasikmalaya,9,23.13,85.04,72.35,27.87,266.3,0.6511,1
Tasikmalaya,9,23.33,84.9,72.67,26.14,228.5,0.7869,1
Ciamis,9,24.18,83.88,73.97,26.87,163.7,0.7558,1
Kota Banjar,9,25.25,82.31,75.55,29.33,153.5,0.6861,1
Bekasi,9,27.82,73.17,78.53,34.54,79.5,0.4657,1
Bogor,9,25.15,76.15,74.75,30.17,257.8,0.6864,1
Cianjur,9,23.4,81.32,72.47,27.85,216.4,0.7292,1
Cirebon,9,27.67,68.34,77.66,33.38,53.0,0.5138,1
Garut,9,21.88,81.97,70.05,26.38,186.6,0.7364,0
Indramayu,9,28.82,61.01,78.33,32.06,32.2,0.5605,1
Karawang,9,27.93,71.77,78.5,32.43,88.2,0.5072,1
Kota Bandung,9,23.46,74.48,71.95,34.55,159.6,0.3377,0
Kota Bogor,9,25.75,76.83,75.75,34.82,393.6,0.4664,1
Kota Cirebon,9,26.91,69.66,76.7,36.31,54.2,0.3762,1
Kota Sukabumi,9,23.53,79.08,72.47,33.05,298.3,0.5081,1
Kuningan,9,24.95,74.07,74.21,28.68,94.6,0.6792,1
Majalengka,9,26.0,67.79,75.11,31.55,70.9,0.5569,1
Purwakarta,9,26.21,72.13,75.94,30.31,177.4,0.661,1
Subang,9,27.16,67.9,76.84,31.11,107.0,0.6266,1
Sukabumi,9,23.96,82.68,73.5,28.35,225.7,0.7088,1
Sumedang,9,25.2,67.39,73.89,29.46,106.3,0.6706,1
Kota Bekasi,9,27.79,72.79,78.43,37.84,81.4,0.3396,1
Kota Depok,9,27.33,73.52,77.82,36.55,185.9,0.4166,1
Bandung,10,22.22,78.22,70.32,27.65,82.8,0.6638,0
Kota Cimahi,10,24.03,77.67,73.13,35.23,80.8,0.3155,1
Kota Tasikmalaya,10,23.64,86.37,73.32,29.97,69.0,0.6379,1
Tasikmalaya,10,23.9,85.56,73.67,27.23,82.3,0.784,1
Ciamis,10,24.82,83.63,75.0,28.91,75.8,0.7609,1
Kota Banjar,10,25.92,81.49,76.55,31.53,66.4,0.6578,1
Bekasi,10,28.34,73.53,79.37,35.47,48.7,0.4807,2
Bogor,10,25.45,76.11,75.2,30.16,184.2,0.6816,1
Cianjur,10,23.84,81.51,73.2,27.81,126.2,0.733,1
Cirebon,10,28.67,65.86,78.79,35.3,18.0,0.518,1
Garut,10,22.34,83.16,70.89,27.04,84.2,0.7348,0
Indramayu,10,29.79,59.64,79.49,35.49,28.3,0.4903,2
Karawang,10,28.61,71.57,79.52,32.84,46.4,0.5549,2
Kota Bandung,10,23.91,75.66,72.75,35.63,62.7,0.3437,1
Kota Bogor,10,26.03,76.83,76.2,35.65,203.7,0.4593,1
Kota Cirebon,10,27.88,67.24,77.83,38.58,14.0,0.3544,1
Kota Sukabumi,10,23.7,80.97,72.92,33.27,136.2,0.5063,1
Kuningan,10,25.74,72.32,75.23,29.95,50.4,0.7202,1
Majalengka,10,26.89,66.08,76.23,33.18,38.1,0.5673,1
Purwakarta,10,26.92,71.16,76.89,30.58,82.6,0.6716,1
Subang,10,27.86,68.1,77.91,32.94,45.6,0.5964,1
Sukabumi,10,24.28,83.75,74.12,28.13,137.8,0.7275,1
